"행정구역","2021년07월_계_총인구수","2021년07월_계_연령구간인구수","2021년07월_계_0~9세","2021년07월_계_10~19세","2021년07월_계_20~29세","2021년07월_계_30~39세","2021년07월_계_40~49세","2021년07월_계_50~59세","2021년07월_계_60~69세","2021년07월_계_70~79세","2021년07월_계_80~89세","2021년07월_계_90~99세","2021년07월_계_100세 이상"
"서울특별시 용산구 한남동(1117068500)","20,572","20,572","1,145","1,159","2,658","3,869","3,327","3,205","2,789","1,546","718","138","18"
"서울특별시 용산구 서빙고동(1117069000)","13,114","13,114","772","1,457","1,758","1,497","2,390","2,266","1,490","777","608","96","3"
"서울특별시 용산구 보광동(1117070000)","13,691","13,691","438","749","2,139","2,106","1,993","2,440","2,003","1,183","558","77","5"
"서울특별시 성동구 (1120000000)","288,703","288,703","19,749","19,311","44,243","47,543","43,836","46,498","37,297","20,204","8,813","1,129","80"
"서울특별시 성동구 왕십리제2동(1120052000)","16,627","16,627","1,200","1,158","2,448","2,876","2,514","2,699","2,088","1,138","444","60","2"
"서울특별시 성동구 왕십리도선동(1120053500)","26,660","26,660","2,293","1,586","4,277","4,596","3,996","4,389","3,079","1,582","762","99","1"
"서울특별시 성동구 마장동(1120054000)","22,476","22,476","1,167","1,592","4,238","3,215","2,954","3,662","3,077","1,706","754","101","10"
"서울특별시 성동구 사근동(1120055000)","11,950","11,950","414","754","4,697","1,579","1,121","1,296","975","738","328","37","11"
"서울특별시 성동구 행당제1동(1120056000)","13,935","13,935","956","999","2,230","2,259","2,129","2,243","1,688","969","399","58","5"
"서울특별시 성동구 행당제2동(1120057000)","23,560","23,560","1,749","2,056","2,930","3,562","3,912","3,919","2,850","1,744","744","91","3"
"서울특별시 성동구 응봉동(1120058000)","15,560","15,560","1,156","1,607","1,754","2,173","2,872","2,484","1,740","1,142","558","66","8"
"서울특별시 성동구 금호1가동(1120059000)","15,460","15,460","1,266","1,073","1,773","2,616","2,529","2,355","2,143","1,120","523","60","2"
"서울특별시 성동구 금호2.3가동(1120061500)","22,861","22,861","1,712","1,414","2,820","4,099","3,650","3,639","2,988","1,675","760","97","7"
"서울특별시 성동구 금호4가동(1120062000)","14,424","14,424","1,341","939","1,443","2,659","2,554","2,092","1,833","1,049","454","56","4"
"서울특별시 성동구 옥수동(1120064500)","26,176","26,176","2,513","1,659","2,823","4,940","4,455","3,837","3,336","1,717","762","128","6"
"서울특별시 성동구 성수1가제1동(1120065000)","16,698","16,698","1,017","1,097","2,602","2,861","2,392","3,072","2,255","959","393","46","4"
"서울특별시 성동구 성수1가제2동(1120066000)","12,859","12,859","713","847","2,064","2,323","1,976","1,991","1,674","879","353","38","1"
"서울특별시 성동구 성수2가제1동(1120067000)","16,134","16,134","798","854","2,242","2,562","2,189","3,019","2,682","1,235","490","58","5"
"서울특별시 성동구 성수2가제3동(1120069000)","11,033","11,033","576","521","1,974","1,935","1,454","1,769","1,555","827","367","47","8"
"서울특별시 성동구 송정동(1120072000)","10,583","10,583","501","556","1,696","1,597","1,519","1,941","1,674","747","305","46","1"
"서울특별시 성동구 용답동(1120079000)","11,707","11,707","377","599","2,232","1,691","1,620","2,091","1,660","977","417","41","2"
