,광역시도,시군구,구분,인구수,20~39세,65세이상
121,부산광역시, 연제구,남자,99974,27091,17061
122,부산광역시, 연제구,여자,107225,26538,21535
123,부산광역시, 수영구,계,174591,47944,36166
124,부산광역시, 수영구,남자,82665,23732,15676
125,부산광역시, 수영구,여자,91926,24212,20492
126,부산광역시, 사상구,계,213286,55276,37178
127,부산광역시, 사상구,남자,107659,29596,16607
128,부산광역시, 사상구,여자,105628,25681,20572
129,부산광역시, 기장군,계,168798,41060,26315
130,부산광역시, 기장군,남자,83578,20934,11238
131,부산광역시, 기장군,여자,85221,20127,15078
135,대구광역시, 중구,계,75567,22509,15239
136,대구광역시, 중구,남자,36422,11223,6269
137,대구광역시, 중구,여자,39146,11288,8971
138,대구광역시, 동구,계,340729,86337,64999
139,대구광역시, 동구,남자,167923,45826,27493
140,대구광역시, 동구,여자,172807,40511,37509
141,대구광역시, 서구,계,170923,39938,37166
142,대구광역시, 서구,남자,85626,22256,15673
143,대구광역시, 서구,여자,85297,17683,21493
144,대구광역시, 남구,계,145124,37443,32971
145,대구광역시, 남구,남자,69856,19243,13679
146,대구광역시, 남구,여자,75268,18202,19293
147,대구광역시, 북구,계,436380,115385,61525
148,대구광역시, 북구,남자,217210,61397,25971
149,대구광역시, 북구,여자,219170,53992,35555
150,대구광역시, 수성구,계,423483,98867,64405
151,대구광역시, 수성구,남자,205156,50902,27196
152,대구광역시, 수성구,여자,218328,47965,37210
153,대구광역시, 달서구,계,560982,147638,77721
154,대구광역시, 달서구,남자,276907,77792,33394
155,대구광역시, 달서구,여자,284076,69847,44327
156,대구광역시, 달성군,계,257019,71490,31631
157,대구광역시, 달성군,남자,130483,38075,13772
158,대구광역시, 달성군,여자,126536,33417,17862
162,인천광역시, 중구,계,135667,39667,19309
163,인천광역시, 중구,남자,70331,20844,8591
164,인천광역시, 중구,여자,65336,18824,10718
165,인천광역시, 동구,계,62324,13856,13723
166,인천광역시, 동구,남자,31473,7432,5833
167,인천광역시, 동구,여자,30851,6425,7891
168,인천광역시, 미추홀구,계,401346,113178,66281
169,인천광역시, 미추홀구,남자,201983,60312,28811
170,인천광역시, 미추홀구,여자,199363,52867,37470
171,인천광역시, 연수구,계,374306,107153,35875
172,인천광역시, 연수구,남자,186028,54151,15783
173,인천광역시, 연수구,여자,188278,53003,20092
174,인천광역시, 남동구,계,524803,145481,68239
175,인천광역시, 남동구,남자,260553,74883,29567
176,인천광역시, 남동구,여자,264250,70599,38672
177,인천광역시, 부평구,계,497593,140742,70322
178,인천광역시, 부평구,남자,245889,72453,30271
179,인천광역시, 부평구,여자,251704,68290,40054
180,인천광역시, 계양구,계,297386,83391,36088
181,인천광역시, 계양구,남자,148266,43439,15795
182,인천광역시, 계양구,여자,149120,39952,20294
183,인천광역시, 서구,계,539670,153454,55342
184,인천광역시, 서구,남자,272307,78915,24409
185,인천광역시, 서구,여자,267363,74540,30934
186,인천광역시, 강화군,계,68662,10815,22228
187,인천광역시, 강화군,남자,34390,5959,10006
188,인천광역시, 강화군,여자,34273,4857,12222
189,인천광역시, 옹진군,계,20367,4667,5291
190,인천광역시, 옹진군,남자,11567,3194,2440
191,인천광역시, 옹진군,여자,8800,1473,2853
195,광주광역시, 동구,계,99138,27106,21207
196,광주광역시, 동구,남자,49085,14033,9280
197,광주광역시, 동구,여자,50053,13073,11928
198,광주광역시, 서구,계,297084,82728,41057
199,광주광역시, 서구,남자,145639,42130,17602
200,광주광역시, 서구,여자,151445,40599,23456
201,광주광역시, 남구,계,214845,54446,36561
202,광주광역시, 남구,남자,103448,27512,15593
203,광주광역시, 남구,여자,111397,26935,20969
204,광주광역시, 북구,계,429591,118632,62737
205,광주광역시, 북구,남자,213094,61966,26975
206,광주광역시, 북구,여자,216498,56668,35762
207,광주광역시, 광산구,계,403810,113180,37126
208,광주광역시, 광산구,남자,203241,58566,15179
209,광주광역시, 광산구,여자,200569,54616,21948
213,대전광역시, 동구,계,222608,56703,41078
214,대전광역시, 동구,남자,112097,30262,17876
215,대전광역시, 동구,여자,110512,26442,23202
216,대전광역시, 중구,계,235822,57858,44187
217,대전광역시, 중구,남자,116308,29719,19157
218,대전광역시, 중구,여자,119515,28139,25030
219,대전광역시, 서구,계,476497,140045,58712
220,대전광역시, 서구,남자,234238,71323,25886
221,대전광역시, 서구,여자,242260,68725,32828
222,대전광역시, 유성구,계,348735,108310,32159
223,대전광역시, 유성구,남자,176042,57104,14163
224,대전광역시, 유성구,여자,172693,51206,17998
225,대전광역시, 대덕구,계,175497,44730,26758
226,대전광역시, 대덕구,남자,89154,24561,11676
227,대전광역시, 대덕구,여자,86343,20171,15085
231,울산광역시, 중구,계,219176,54835,31785
232,울산광역시, 중구,남자,111093,29638,14181
233,울산광역시, 중구,여자,108083,25197,17605
234,울산광역시, 남구,계,319908,88708,37419
235,울산광역시, 남구,남자,162963,48254,17197
236,울산광역시, 남구,여자,156945,40457,20223
237,울산광역시, 동구,계,157346,42035,18893
238,울산광역시, 동구,남자,82169,23338,9071
239,울산광역시, 동구,여자,75177,18698,9823
240,울산광역시, 북구,계,217825,62807,17149
241,울산광역시, 북구,남자,112644,33772,7597
242,울산광역시, 북구,여자,105181,29036,9552
243,울산광역시, 울주군,계,221860,52979,31575
244,울산광역시, 울주군,남자,114482,29036,13989
245,울산광역시, 울주군,여자,107379,23945,17587
249,세종특별자치시, 세종시,계,347070,98167,33147
250,세종특별자치시, 세종시,남자,173130,48592,14378
251,세종특별자치시, 세종시,여자,173940,49576,18771
258,경기도, 장안구,계,273908,77281,35173
259,경기도, 장안구,남자,137852,41344,15061
260,경기도, 장안구,여자,136056,35939,20112
261,경기도, 권선구,계,367862,113900,39664
262,경기도, 권선구,남자,185541,59404,17422
263,경기도, 권선구,여자,182321,54496,22242
264,경기도, 팔달구,계,172567,53053,25524
265,경기도, 팔달구,남자,86722,28059,11023
266,경기도, 팔달구,여자,85845,24996,14502
267,경기도, 영통구,계,367134,122387,25795
268,경기도, 영통구,남자,184266,62736,10932
269,경기도, 영통구,여자,182869,59653,14864
273,경기도, 수정구,계,234559,69548,36055
274,경기도, 수정구,남자,118486,36794,15859
275,경기도, 수정구,여자,116073,32754,20198
276,경기도, 중원구,계,214929,62502,32535
277,경기도, 중원구,남자,108743,33022,14387
278,경기도, 중원구,여자,106186,29480,18149
279,경기도, 분당구,계,480686,136525,58204
280,경기도, 분당구,남자,233015,67109,25523
281,경기도, 분당구,여자,247672,69419,32683
282,경기도, 의정부시,계,450781,122528,66409
283,경기도, 의정부시,남자,222088,62410,28491
284,경기도, 의정부시,여자,228693,60120,37918
288,경기도, 만안구,계,239293,68402,36484
289,경기도, 만안구,남자,119715,35883,16388
290,경기도, 만안구,여자,119579,32519,20097
291,경기도, 동안구,계,314107,88725,35939
292,경기도, 동안구,남자,153900,45251,15696
293,경기도, 동안구,여자,160207,43476,20244
294,경기도, 부천시,계,816254,235658,106461
295,경기도, 부천시,남자,404970,121267,47096
296,경기도, 부천시,여자,411284,114391,59367
297,경기도, 광명시,계,304481,82287,40679
298,경기도, 광명시,남자,150321,42296,17557
299,경기도, 광명시,여자,154161,39992,23122
300,경기도, 평택시,계,518514,148888,62366
301,경기도, 평택시,남자,268145,80991,26701
302,경기도, 평택시,여자,250369,67898,35665
303,경기도, 동두천시,계,92585,21377,18298
304,경기도, 동두천시,남자,46302,11348,7637
305,경기도, 동두천시,여자,46283,10030,10662
309,경기도, 상록구,계,345097,100786,38060
310,경기도, 상록구,남자,175704,53985,16265
311,경기도, 상록구,여자,169394,46801,21795
312,경기도, 단원구,계,301918,89533,30205
313,경기도, 단원구,남자,155486,48207,13422
314,경기도, 단원구,여자,146433,41327,16784
318,경기도, 덕양구,계,467051,128811,66283
319,경기도, 덕양구,남자,231010,65799,28325
320,경기도, 덕양구,여자,236041,63013,37959
321,경기도, 일산동구,계,295460,82581,35975
322,경기도, 일산동구,남자,143741,40938,15339
323,경기도, 일산동구,여자,151719,41645,20636
324,경기도, 일산서구,계,299967,79030,36316
325,경기도, 일산서구,남자,145575,39531,15128
326,경기도, 일산서구,여자,154392,39500,21188
327,경기도, 과천시,계,59891,16507,8298
328,경기도, 과천시,남자,29496,8549,3550
329,경기도, 과천시,여자,30395,7958,4748
330,경기도, 구리시,계,196379,54028,25597
331,경기도, 구리시,남자,97413,27440,11344
332,경기도, 구리시,여자,98966,26590,14254
333,경기도, 남양주시,계,702635,173840,95826
334,경기도, 남양주시,남자,349883,87889,42277
335,경기도, 남양주시,여자,352752,85953,53549
336,경기도, 오산시,계,226810,70077,20946
337,경기도, 오산시,남자,117138,37702,9145
338,경기도, 오산시,여자,109672,32375,11801
339,경기도, 시흥시,계,483807,142694,43659
340,경기도, 시흥시,남자,252576,76874,19245
341,경기도, 시흥시,여자,231232,65820,24416
342,경기도, 군포시,계,272796,76889,34645
343,경기도, 군포시,남자,135268,39942,15128
344,경기도, 군포시,여자,137528,36948,19517
345,경기도, 의왕시,계,161142,45389,21260
346,경기도, 의왕시,남자,80251,23664,9570
347,경기도, 의왕시,여자,80892,21727,11692
348,경기도, 하남시,계,280941,82406,35077
349,경기도, 하남시,남자,141222,41928,16297
350,경기도, 하남시,여자,139719,40480,18781
354,경기도, 처인구,계,253858,67969,35961
355,경기도, 처인구,남자,130011,36306,15922
356,경기도, 처인구,여자,123847,31664,20039
357,경기도, 기흥구,계,436038,115749,54347
358,경기도, 기흥구,남자,215319,58099,23898
359,경기도, 기흥구,여자,220719,57650,30450
